# ExperimentSet [id=resultsExperiments/timelinessDisruption/V16E2D5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C3,1774763047,250.0,585.5057,335.50568,352.12573,102.12573,21825.152,22111.762,48388.625,42391.617,12159.3,12159.299,12159.3,5997.0117,286.61035
C12,-506496402,250.0,3180.5579,2930.5579,1976.9968,1726.9968,257387.23,341378.28,595985.0,353115.03,14521.3125,14521.311,14521.311,242869.97,83991.05
C8,-41169962,250.0,847.0336,597.0336,637.9036,387.90363,49650.51,54421.723,81784.42,67858.96,13240.328,13240.326,13240.326,13925.461,4771.215
C7,2018695370,250.0,987.8838,737.8838,987.73364,737.73364,76028.445,96039.13,96056.69,68270.0,13520.759,13520.759,13520.759,27786.688,20010.688
C7,1083428877,250.0,1270.767,1020.76697,1249.4912,999.4912,92442.16,109769.74,112019.164,86748.73,10695.002,10695.002,10695.002,25270.438,17327.586
C2,298499967,250.0,1443.8119,1193.8119,1370.6179,1120.6179,86904.11,157917.98,167467.27,46039.78,12583.496,12583.496,12583.496,121427.484,71013.875
C3,-1264165101,250.0,1977.0706,1727.0706,1935.6262,1685.6262,101209.9,260039.1,265392.9,55754.266,13246.93,13246.93,13246.929,209638.62,158829.19
C2,1316144193,250.0,731.10046,481.10046,423.2292,173.22919,30655.562,31510.816,76199.68,71399.85,12664.951,12664.95,12664.948,4799.828,855.25586
C1,315415608,250.0,802.73303,552.73303,672.173,422.17297,38426.395,55892.68,71464.65,28469.95,12726.248,12726.248,12726.248,42994.695,17466.283
C10,-187855682,250.0,977.89966,727.89966,602.61456,352.61456,40173.758,43062.117,77513.875,66624.6,11683.79,11683.79,11683.79,10889.273,2888.3594
C4,-1992587721,250.0,1308.5881,1058.5881,1204.8068,954.80676,84599.695,126570.055,138192.72,45336.062,13049.003,13049.003,13049.003,92856.66,41970.36
C10,675187325,250.0,1368.2853,1118.2853,1359.3986,1109.3986,132080.84,151116.92,152260.66,126100.9,15174.657,15174.659,15174.657,26159.758,19036.078
C4,1761766398,250.0,718.6619,468.66193,515.73413,265.73413,35106.516,38493.895,58566.918,44195.875,13873.284,13873.284,13873.284,14371.043,3387.379
C13,630898849,250.0,995.48914,745.48914,992.5244,742.5244,78629.53,89103.53,89454.3,77374.516,13563.596,13563.594,13563.596,12079.781,10474.0
C9,-2048043543,250.0,789.5316,539.5316,672.82935,422.82935,59591.695,65160.293,78586.12,70217.73,16238.994,16238.996,16238.996,8368.391,5568.5938
C5,1380944539,250.0,803.8451,553.8451,810.7236,560.7236,59554.453,69362.336,68592.05,55501.594,17261.541,17261.541,17261.541,13090.453,9807.883
C1,-443350544,250.0,1315.4401,1065.4401,526.10565,276.10565,47681.54,48722.61,169905.62,136682.97,13994.388,13994.389,13994.388,33222.656,1041.0664
C9,66651665,250.0,1397.0201,1147.0201,547.1648,297.1648,44616.23,45745.91,163640.6,145034.84,13115.708,13115.706,13115.708,18605.75,1129.6797
C10,-1385530526,250.0,1684.2134,1434.2134,1673.0399,1423.0399,166510.39,211343.34,213041.14,161300.47,14064.043,14064.043,14064.043,51740.67,44832.953
C3,-1040023681,250.0,1576.9156,1326.9156,1420.9618,1170.9618,122138.02,158609.47,177094.78,83826.32,14715.685,14715.685,14715.685,93268.46,36471.445
C7,1909811994,250.0,697.8232,447.82318,695.709,445.70898,51721.24,55489.906,55711.633,50805.86,12617.056,12617.056,12617.056,4905.7734,3768.668
C1,-463642527,250.0,2185.4731,1935.4731,2118.6943,1868.6943,128614.375,266104.62,277076.72,78215.99,12002.578,12002.579,12002.58,198860.72,137490.25
C3,481889107,250.0,1109.2377,859.2377,775.27985,525.27985,52512.996,74541.82,115210.36,35584.37,13912.358,13912.358,13912.358,79625.984,22028.824
C1,1466068709,250.0,1213.4572,963.45715,868.388,618.388,56729.83,82360.66,119560.07,48780.016,14360.72,14360.722,14360.72,70780.055,25630.828
C1,542933640,250.0,816.2222,566.2222,563.3719,313.3719,44706.28,48391.35,77954.805,64023.98,15283.046,15283.047,15283.046,13930.824,3685.0703
C2,-31587717,250.0,922.12024,672.12024,718.67395,468.67395,45493.99,60325.29,80787.734,34292.47,14899.563,14899.5625,14899.563,46495.266,14831.301
C3,-1608197371,250.0,1553.3673,1303.3673,522.0198,272.01978,40625.582,43324.535,188570.16,123771.445,13263.725,13263.726,13263.727,64798.72,2698.9512
C2,-806685258,250.0,2316.7368,2066.7368,2333.017,2083.017,183117.6,422055.8,418441.6,73876.15,12799.435,12799.437,12799.435,344565.44,238938.22
C1,1337272588,250.0,2873.3298,2623.3298,2857.5667,2607.5667,237343.58,522676.12,525790.5,73453.31,14439.336,14439.336,14439.336,452337.2,285332.53
C3,1134486876,250.0,696.3815,446.38147,566.78845,316.78845,33700.066,42137.715,54122.28,27040.4,12632.5205,12632.522,12632.522,27081.879,8437.645
C3,408405954,250.0,826.82056,576.82056,667.51697,417.51697,43816.367,57455.84,74267.234,33747.316,11877.424,11877.424,11877.424,40519.92,13639.471
C11,707954076,250.0,735.74036,485.74036,693.82935,443.82935,53330.76,57977.246,62156.887,52462.59,11125.059,11125.06,11125.059,9694.297,4646.4844
C3,698709310,250.0,1344.7893,1094.7893,1204.3516,954.35156,75864.96,121065.05,138147.89,34283.133,12765.004,12765.003,12765.003,103864.766,45200.09
C7,286052801,250.0,1260.2888,1010.2888,1241.1104,991.11035,133852.06,150904.53,153700.36,124688.62,12340.188,12340.187,12340.1875,29011.742,17052.469
C6,-190541709,250.0,677.2008,427.2008,675.4648,425.46478,42136.14,50912.71,51086.65,38272.777,13392.775,13392.776,13392.775,12813.869,8776.568
C14,-763205672,250.0,1074.06,824.06006,1061.779,811.77905,81902.06,95405.44,96596.664,77731.875,13876.667,13876.669,13876.668,18864.785,13503.367
C2,-1512022076,250.0,452.1074,202.10739,471.10635,221.10635,36320.902,36925.31,34622.08,33632.285,15722.534,15722.536,15722.534,989.79297,604.40625
C8,-2041392862,250.0,1411.982,1161.982,1411.2566,1161.2566,116003.66,213656.61,213794.9,92109.85,14977.672,14977.672,14977.672,121685.055,97652.95
C4,-1124915830,250.0,1738.5554,1488.5554,1675.7041,1425.7041,138515.77,205920.52,214857.73,68795.4,13940.956,13940.957,13940.956,146062.34,67404.75
C13,174823762,250.0,692.1147,442.1147,681.8041,431.80408,55597.508,60398.75,61610.543,56083.754,12692.705,12692.706,12692.705,5526.789,4801.2383
C3,-1668190253,250.0,1806.3971,1556.3971,1742.654,1492.654,140781.16,206084.97,213268.88,76134.67,16161.204,16161.204,16161.202,137134.2,65303.812
C9,1799436767,250.0,1064.9624,814.9624,1059.5002,809.50024,87527.54,112024.28,112667.27,85095.29,13096.679,13096.679,13096.679,27571.984,24496.742
C2,-1555590367,250.0,829.68164,579.68164,774.78436,524.78436,58949.164,76650.91,82566.836,47656.06,15584.54,15584.54,15584.54,34910.777,17701.742
C6,650433521,250.0,808.43066,558.43066,602.82794,352.82794,46191.76,49572.168,72987.53,61089.027,14849.188,14849.188,14849.187,11898.504,3380.4062
C5,-648533003,250.0,1096.1307,846.13074,885.51544,635.51544,53709.902,82487.22,107099.234,48793.887,11825.3,11825.3,11825.3,58305.35,28777.32
C9,412928697,250.0,2248.3547,1998.3547,2215.4998,1965.4998,220533.8,341098.38,347733.78,174194.86,13333.406,13333.406,13333.406,173538.92,120564.58
C5,952822115,250.0,994.84735,744.84735,970.1025,720.1025,69520.28,101252.35,104018.23,54214.65,14800.888,14800.888,14800.888,49803.574,31732.066
C2,-1720755923,250.0,2285.7996,2035.7996,1367.6699,1117.6699,92852.81,157443.03,304234.25,59943.715,14547.753,14547.753,14547.753,244290.53,64590.22
C8,713249548,250.0,802.3147,552.3147,770.99194,520.99194,57966.727,64557.594,66865.41,58408.633,13986.352,13986.35,13986.352,8456.773,6590.867
C8,826247555,250.0,1128.5072,878.5072,1029.7292,779.72925,89130.78,105748.09,120174.97,93858.27,13701.772,13701.772,13701.772,26316.695,16617.312
C2,785368874,250.0,2618.1729,2368.1729,714.897,464.89697,74527.54,80836.42,446099.44,290963.56,16386.316,16386.316,16386.316,155135.88,6308.883
C3,1006981601,250.0,879.0629,629.0629,321.7856,71.785614,19683.09,19738.4,97435.67,92639.195,12918.656,12918.658,12918.657,4796.4766,55.308594
C1,114827670,250.0,719.6107,469.61072,655.8887,405.88867,53102.965,59441.85,66383.44,53957.434,17425.117,17425.117,17425.117,12426.004,6338.8867
C7,316430616,250.0,1559.1786,1309.1786,1420.771,1170.771,141863.7,182218.28,201566.38,139249.72,13620.8955,13620.8955,13620.8955,62316.664,40354.586
