# ExperimentSet [id=resultsExperiments/timelinessDisruption/V32E2D_5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=32, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C3,1774763047,250.0,419.02338,169.02338,372.66772,122.667725,62335.53,62511.848,76277.31,75890.74,32001.547,32001.55,32001.55,386.5703,176.3125
C14,-506496402,250.0,3088.2966,2838.2966,3082.3428,2832.3428,1175579.9,1294760.9,1297722.9,1169571.6,30707.11,30707.104,30707.104,128151.25,119181.0
C5,-41169962,250.0,2113.4695,1863.4695,2084.4116,1834.4116,276538.75,612642.44,623581.4,110893.53,30195.31,30195.31,30195.309,512687.84,336103.7
C2,2018695370,250.0,1339.0446,1089.0446,928.79724,678.79724,178067.52,215376.62,335287.1,199579.77,27383.768,27383.77,27383.768,135707.31,37309.11
C10,1083428877,250.0,1927.4801,1677.4801,1490.3481,1240.3481,380275.66,418129.6,567067.9,466677.66,29253.732,29253.732,29253.732,100390.19,37853.938
C12,298499967,250.0,948.4289,698.4289,775.48596,525.48596,167977.55,175866.55,233740.33,216945.2,30531.498,30531.5,30531.498,16795.125,7889.0
C12,-1264165101,250.0,1404.1614,1154.1614,1243.883,993.88306,361454.5,384219.75,445329.03,412783.38,29604.094,29604.094,29604.094,32545.656,22765.25
C6,1316144193,250.0,1380.56,1130.56,860.8801,610.8801,177140.78,194598.69,354859.16,280137.6,28521.266,28521.264,28521.266,74721.58,17457.906
C4,315415608,250.0,1285.9115,1035.9115,937.68195,687.68195,207246.56,224765.2,337550.88,269521.6,33350.03,33350.03,33350.03,68029.28,17518.64
C11,-187855682,250.0,1850.3916,1600.3916,938.085,688.085,226215.03,267248.97,623910.25,393969.88,32610.256,32610.254,32610.254,229940.38,41033.938
C11,-1992587721,250.0,1811.7739,1561.7739,1347.739,1097.739,319232.28,370388.66,525527.3,410486.2,30057.82,30057.818,30057.818,115041.125,51156.375
C7,675187325,250.0,2415.7175,2165.7175,1426.9124,1176.9124,346600.53,399781.66,735618.9,568298.9,30362.809,30362.809,30362.809,167320.0,53181.125
C6,1761766398,250.0,1270.8881,1020.88806,950.606,700.606,185868.05,208582.44,300450.34,234188.19,28582.432,28582.436,28582.438,66262.16,22714.39
C12,630898849,250.0,925.7866,675.7866,603.8153,353.8153,118306.03,122694.625,236043.56,217848.94,26868.338,26868.338,26868.336,18194.625,4388.5938
C5,-2048043543,250.0,1550.6183,1300.6183,786.81683,536.81683,131112.4,162106.5,369053.47,141404.98,31439.156,31439.158,31439.158,227648.48,30994.094
C19,1380944539,250.0,1045.6553,795.6553,954.96155,704.96155,188769.75,201243.08,223811.3,206509.81,28877.7,28877.7,28877.7,17301.484,12473.328
C3,-443350544,250.0,8254.104,8004.1035,6167.623,5917.623,1503008.9,3427856.0,4863424.5,644867.8,29991.535,29991.533,29991.531,4218557.0,1924847.1
C10,66651665,250.0,1618.6238,1368.6238,1613.2535,1363.2535,443983.72,512920.06,515203.56,430718.0,28559.586,28559.584,28559.588,84485.56,68936.34
C1,-1385530526,250.0,954.8123,704.8123,950.7792,700.7792,277854.53,281853.78,283672.78,276359.5,29386.695,29386.695,29386.695,7313.2812,3999.25
C16,-1040023681,250.0,1324.5691,1074.5691,1310.1678,1060.1678,284000.4,299840.4,303843.2,285339.6,27958.572,27958.574,27958.572,18503.61,15840.016
C8,1909811994,250.0,2576.6768,2326.6768,1738.4481,1488.4481,363349.88,568654.94,888590.3,357299.94,30837.148,30837.148,30837.146,531290.4,205305.1
C8,-463642527,250.0,1055.7009,805.7009,971.6717,721.6717,215314.28,229410.28,255622.16,234508.56,31427.994,31427.996,31427.996,21113.594,14096.0
C10,481889107,250.0,872.5487,622.5487,759.16156,509.16156,175208.03,181471.6,222921.22,212250.28,30843.422,30843.42,30843.422,10670.9375,6263.5625
C15,1466068709,250.0,707.3845,457.38452,596.88794,346.88794,112734.45,114813.375,146326.27,141535.42,28795.607,28795.604,28795.607,4790.8516,2078.9297
C1,542933640,250.0,3635.3162,3385.3162,1053.8806,803.8806,230781.6,290594.12,1303674.8,424531.88,28991.365,28991.367,28991.365,879142.9,59812.516
