# ExperimentSet [id=resultsExperiments/timelinessDisruption/V4E2D5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=4, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C1,1774763047,250.0,389.69708,139.69708,359.6278,109.62781,4424.993,4794.8613,5145.4756,4442.6074,3155.5425,3155.5427,3155.5427,702.86816,369.86792
C2,-506496402,250.0,807.93286,557.93286,724.66693,474.66693,8289.486,12318.844,13891.321,5353.97,2278.5085,2278.5085,2278.5085,8537.351,4029.3574
C2,-41169962,250.0,492.24442,242.24442,329.55072,79.55072,4045.0244,4289.901,6608.5537,4638.402,3091.4421,3091.4421,3091.4421,1970.1519,244.87646
C3,2018695370,250.0,743.082,493.08197,733.1328,483.1328,6856.7695,11670.352,11838.479,6021.972,2093.2239,2093.2239,2093.2239,5816.507,4813.582
C2,1083428877,250.0,414.02457,164.02457,418.41254,168.41254,4435.6367,5360.668,5307.8994,3828.5618,2763.95,2763.9502,2763.95,1479.3374,925.031
C1,298499967,250.0,442.53934,192.53934,351.52054,101.52054,4606.3726,4891.7207,6498.162,4976.2627,3075.7207,3075.7202,3075.7207,1521.8999,285.34863
C1,-1264165101,250.0,438.88248,188.88248,387.8058,137.80579,4042.2507,5034.8066,5881.643,4425.2207,2451.9727,2451.9727,2451.9727,1456.4224,992.5559
C1,1316144193,250.0,587.9442,337.9442,572.75653,322.75653,7354.618,9693.895,9940.289,5654.402,2473.4795,2473.4795,2473.4792,4285.8867,2339.2764
C1,315415608,250.0,490.86484,240.86484,428.65408,178.65408,4299.313,4924.2,5591.781,4106.3984,2624.7842,2624.7847,2624.7842,1485.3818,624.8867
C3,-187855682,250.0,624.6694,374.66937,444.15164,194.15164,6146.0034,7335.402,10415.551,7614.335,3323.336,3323.336,3323.3362,2801.2158,1189.3984
C2,-1992587721,250.0,776.8878,526.8878,606.5858,356.58582,7667.677,11113.488,14579.072,6698.555,3233.8853,3233.8853,3233.885,7880.5176,3445.8115
C1,675187325,250.0,433.21646,183.21646,426.24042,176.24042,4464.538,5432.8633,5594.5283,3775.9082,1933.6852,1933.6852,1933.685,1818.6201,968.3252
C2,1761766398,250.0,647.4746,397.4746,639.2474,389.24738,6372.445,8701.05,8811.525,5464.9873,3050.4785,3050.4785,3050.4785,3346.538,2328.605
C2,630898849,250.0,547.1145,297.1145,452.1146,202.1146,5282.792,5535.2554,7014.988,4978.38,2663.4749,2663.475,2663.475,2036.6079,252.46313
C2,-2048043543,250.0,675.05066,425.05066,647.4085,397.4085,8704.152,12709.857,13270.318,6866.687,3222.7278,3222.7278,3222.7278,6403.632,4005.705
C3,1380944539,250.0,664.35144,414.35144,467.4619,217.46191,6711.8174,7998.7646,11601.214,7956.0166,3471.9668,3471.967,3471.967,3645.1973,1286.9473
C1,-443350544,250.0,601.4576,351.45758,448.48944,198.48944,5595.708,6832.358,10410.388,5621.263,2602.4153,2602.4153,2602.4153,4789.125,1236.6497
C1,66651665,250.0,420.2686,170.26859,378.83124,128.83124,5312.98,6136.317,6884.9897,4700.9062,3311.7627,3311.7627,3311.7627,2184.0835,823.3369
C1,-1385530526,250.0,446.36618,196.36618,412.35565,162.35565,4777.4077,6102.405,6773.4316,4706.378,2917.9082,2917.9084,2917.9082,2067.0535,1324.9968
C1,-1040023681,250.0,422.32928,172.32928,407.44064,157.44064,3042.656,3521.5337,3653.9106,2861.498,1877.461,1877.461,1877.461,792.4126,478.8777
C1,1909811994,250.0,464.54303,214.54303,360.22955,110.22955,4266.7886,4608.99,6456.7427,4377.9478,2445.997,2445.997,2445.997,2078.795,342.20166
C1,-463642527,250.0,417.62546,167.62546,344.7033,94.70331,3640.6128,3783.0146,4651.907,3927.583,2736.611,2736.611,2736.611,724.3242,142.40186
C2,481889107,250.0,804.5699,554.5699,478.40637,228.40637,5638.3594,7477.5864,14463.867,6595.4443,2807.997,2807.9968,2807.9968,7868.423,1839.2275
C1,1466068709,250.0,395.78406,145.78406,328.7144,78.714386,4115.457,4248.2827,4877.48,4234.221,3397.762,3397.762,3397.762,643.2588,132.82568
C1,542933640,250.0,439.21097,189.21097,354.83353,104.83353,4318.988,4559.5425,5757.4517,4482.926,3046.3853,3046.3853,3046.3853,1274.5259,240.55469
C1,-31587717,250.0,511.1151,261.1151,349.86795,99.86795,3615.667,3914.9854,6120.571,3878.1416,2680.4597,2680.46,2680.4597,2242.429,299.3181
C1,-1608197371,250.0,757.36316,507.36316,724.46814,474.46814,9220.879,14311.348,15070.917,7769.5674,3362.4128,3362.4128,3362.413,7301.3496,5090.4688
C1,-806685258,250.0,444.8258,194.8258,441.18747,191.18747,5035.593,6083.8643,6133.5864,4418.6445,2410.4392,2410.4392,2410.4392,1714.9419,1048.2715
C3,1337272588,250.0,615.7187,365.7187,611.6928,361.6928,8153.6367,10715.201,10796.172,6868.177,3586.1628,3586.1628,3586.163,3927.995,2561.5645
C2,1134486876,250.0,563.98505,313.98505,574.3794,324.3794,6276.664,8342.379,8171.8457,5411.7686,2750.8257,2750.8257,2750.8257,2760.0771,2065.7148
C1,408405954,250.0,473.81766,223.81766,377.3801,127.3801,4888.487,5497.291,6770.148,4708.144,3336.5342,3336.5342,3336.5344,2062.0042,608.8042
C2,707954076,250.0,474.20526,224.20526,334.29266,84.29266,3501.4578,3892.2134,6362.3643,3827.9375,2206.7979,2206.7979,2206.798,2534.427,390.7556
C2,698709310,250.0,580.7967,330.7967,566.2931,316.2931,5295.288,6847.5435,7133.3374,4785.68,2355.0852,2355.0852,2355.0852,2347.657,1552.2551
C1,286052801,250.0,397.58694,147.58694,346.03336,96.033356,2837.4998,2950.7158,3510.965,2895.8994,1905.0979,1905.0979,1905.0979,615.0657,113.216064
C2,-190541709,250.0,652.7452,402.74518,615.9042,365.90417,7813.68,10960.025,12005.857,6397.0054,2954.9175,2954.918,2954.918,5608.852,3146.3447
C1,-763205672,250.0,731.46375,481.46375,586.54974,336.54974,5464.2104,7775.302,10457.17,4404.528,2305.1602,2305.1602,2305.1602,6052.642,2311.0913
C1,-1512022076,250.0,733.13153,483.13153,657.18976,407.18976,11571.471,14303.828,16288.488,8387.81,4071.3076,4071.3076,4071.3076,7900.6787,2732.3574
C3,-2041392862,250.0,810.1549,560.1549,808.96387,558.96387,8857.522,12519.387,12544.799,7620.488,2992.6772,2992.677,2992.677,4924.3115,3661.8647
C2,-1124915830,250.0,405.94226,155.94226,384.33112,134.33112,4264.933,4884.539,5161.7393,4360.8877,2852.2144,2852.2144,2852.2144,800.85156,619.60596
C1,174823762,250.0,392.58615,142.58615,385.61658,135.61658,3778.9573,4255.0093,4344.572,3542.9119,2118.6443,2118.6443,2118.6443,801.6599,476.052
C3,-1668190253,250.0,649.1326,399.13263,643.42224,393.42224,8110.4004,11325.594,11437.265,7119.2354,2703.7588,2703.759,2703.7588,4318.0293,3215.1934
C2,1799436767,250.0,456.28305,206.28305,353.1751,103.17511,3396.5132,3712.6333,4953.054,3372.547,2043.7938,2043.794,2043.794,1580.5071,316.12
C2,-1555590367,250.0,766.56,516.56,644.6695,394.6695,8129.9746,11417.745,14073.699,6831.405,2749.2432,2749.2432,2749.2434,7242.295,3287.7705
C1,650433521,250.0,467.25974,217.25974,472.88986,222.88986,7242.2305,8636.321,8505.111,5842.0073,3366.581,3366.5808,3366.5808,2663.1038,1394.0908
C2,-648533003,250.0,405.6068,155.60681,320.3001,70.30011,3265.353,3394.975,4502.0615,3604.0767,2667.7842,2667.7842,2667.7842,897.98486,129.62207
C3,412928697,250.0,775.3946,525.3946,527.77985,277.77985,7946.5464,11037.246,16164.45,8398.814,3364.3577,3364.3577,3364.3577,7765.6357,3090.7002
C1,952822115,250.0,680.1195,430.1195,420.90918,170.90918,4927.853,5803.969,11039.268,5597.2896,2705.7651,2705.765,2705.7651,5441.9785,876.11646
