# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D50.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=50.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1774763047,250.0,1925.9833,1675.9833,2179.4905,1929.4905,2179.4905,1929.4905,190207.08,211113.05,148179.08,181579.25,208573.23,211113.06,7395.3457,33400.17,20905.969,2539.8281
C12,-506496402,250.0,4584.06,4334.06,4261.204,4011.204,4261.204,4011.204,501330.16,662187.9,453908.5,725088.56,657527.94,662187.9,8370.188,271180.06,160857.72,4659.9375
C8,-41169962,250.0,2799.8594,2549.8594,1747.1198,1497.1198,1747.1198,1497.1198,143346.89,162247.11,228591.31,290537.94,160890.7,162247.14,8466.484,61946.61,18900.219,1356.4375
C7,2018695370,250.0,1976.1067,1726.1067,2128.2234,1878.2234,2128.2234,1878.2234,147581.83,188764.38,120920.08,173994.67,186447.44,188764.4,8289.45,53074.594,41182.547,2316.9688
C7,1083428877,250.0,3043.87,2793.87,3092.0798,2842.0798,3092.0798,2842.0798,220963.52,265232.38,193904.45,260602.52,262534.44,265232.38,7736.1787,66698.06,44268.86,2697.9375
C2,298499967,250.0,3074.6943,2824.6943,3382.2605,3132.2605,3382.2605,3132.2605,202527.34,368969.06,74104.98,329855.5,349125.8,368969.06,8008.0015,255750.53,166441.72,19843.25
C3,-1264165101,250.0,4052.2783,3802.2783,4194.2695,3944.2695,4194.2695,3944.2695,211603.9,546288.2,70286.39,524746.56,513007.4,546288.2,7778.422,454460.16,334684.25,33280.78
C2,1316144193,250.0,3174.791,2924.791,610.09467,360.09467,610.09467,360.09467,36260.926,36787.273,394766.3,432938.78,36543.19,36787.273,7893.221,38172.47,526.3496,244.08398
C1,315415608,250.0,1589.0562,1339.0562,1861.0134,1611.0134,1861.0134,1611.0134,86763.75,166649.75,37729.63,136884.92,153110.56,166649.75,7602.169,99155.29,79886.0,13539.1875
C10,-187855682,250.0,1555.4072,1305.4072,1696.4391,1446.4391,1696.4391,1446.4391,133062.02,145096.17,112961.6,129526.7,144295.19,145096.17,8008.516,16565.102,12034.156,800.9844
C4,-1992587721,250.0,3185.0898,2935.0898,2884.9194,2634.9194,2884.9194,2634.9194,182533.16,294149.88,78290.086,328115.4,276989.1,294149.84,8455.302,249825.31,111616.7,17160.75
C10,675187325,250.0,2503.6255,2253.6255,2608.6753,2358.6753,2608.6753,2358.6753,226961.33,268722.38,206957.02,255286.0,267353.8,268722.38,8531.224,48328.984,41761.047,1368.5625
C4,1761766398,250.0,1803.5653,1553.5653,1649.6992,1399.6992,1649.6992,1399.6992,107057.0,130676.98,89221.16,147080.8,126985.55,130676.97,8776.698,57859.64,23619.984,3691.4297
C13,630898849,250.0,1690.577,1440.577,1904.2399,1654.2399,1904.2399,1654.2399,149623.48,173397.8,127759.625,149871.88,172021.8,173397.8,7945.633,22112.258,23774.312,1376.0
C9,-2048043543,250.0,1654.4407,1404.4407,1840.2267,1590.2267,1840.2267,1590.2267,151639.23,164326.7,131110.14,145134.58,163419.0,164326.7,9408.612,14024.4375,12687.469,907.7031
C5,1380944539,250.0,1715.433,1465.433,1387.8365,1137.8365,1387.8365,1137.8365,91068.44,113882.0,101950.61,147045.27,110824.89,113882.0,8810.115,45094.664,22813.562,3057.1094
C1,-443350544,250.0,5844.2964,5594.2964,3021.031,2771.031,3021.031,2771.031,358638.38,402449.28,622767.56,892235.3,392825.8,402449.22,7048.4824,269467.75,43810.906,9623.406
C9,66651665,250.0,2215.3462,1965.3462,1880.9276,1630.9276,1880.9276,1630.9276,169655.3,182907.16,200862.52,228914.39,181913.02,182907.16,7145.145,28051.875,13251.859,994.1406
C10,-1385530526,250.0,6666.0845,6416.0845,6297.418,6047.418,6297.418,6047.418,644956.44,829931.8,649276.7,885141.25,827726.8,829931.8,8879.898,235864.56,184975.38,2205.0
C3,-1040023681,250.0,3248.9265,2998.9265,2941.3948,2691.3948,2941.3948,2691.3948,238172.86,318089.7,148959.61,356075.03,305224.1,318089.7,7703.1724,207115.4,79916.81,12865.594
C7,1909811994,250.0,1541.467,1291.467,1695.6934,1445.6934,1695.6934,1445.6934,139003.55,152459.36,119009.95,135369.38,151799.28,152459.36,8071.0537,16359.422,13455.82,660.0781
C1,-463642527,250.0,5371.347,5121.347,5259.904,5009.904,5259.904,5009.904,312668.66,646024.3,165081.9,661144.56,619009.3,646024.3,7523.4546,496062.7,333355.7,27015.0
C3,481889107,250.0,2456.8647,2206.8647,2780.2383,2530.2383,2780.2383,2530.2383,164976.12,283412.5,49909.04,245599.39,266229.4,283412.47,8507.997,195690.34,118436.375,17183.062
C1,1466068709,250.0,2777.748,2527.748,3432.0554,3182.0554,3432.0554,3182.0554,197107.61,329488.84,72242.66,264279.03,319810.38,329488.8,8323.996,192036.38,132381.23,9678.4375
C1,542933640,250.0,1890.0338,1640.0338,2050.3262,1800.3262,2050.3262,1800.3262,177970.89,208200.77,140048.16,187390.33,203557.94,208200.77,7568.1196,47342.17,30229.875,4642.828
C2,-31587717,250.0,2978.6057,2728.6057,3127.2158,2877.2158,3127.2158,2877.2158,158756.06,292322.84,60271.664,276504.44,279114.66,292322.78,8691.806,216232.77,133566.78,13208.125
C3,-1608197371,250.0,2812.0823,2562.0823,1619.7897,1369.7897,1619.7897,1369.7897,138901.3,163552.92,208096.94,337313.8,157758.38,163552.92,7946.7026,129216.89,24651.625,5794.547
C2,-806685258,250.0,7526.3867,7276.3867,7422.3154,7172.3154,7422.3154,7172.3154,576663.7,1445185.8,161367.28,1468656.2,1372050.9,1445185.8,6879.0225,1307289.0,868522.06,73134.875
C1,1337272588,250.0,6775.4624,6525.4624,7107.939,6857.939,7107.939,6857.939,566906.4,1307433.9,118941.93,1239173.9,1244085.0,1307433.8,9185.319,1120231.9,740527.44,63348.75
C3,1134486876,250.0,1750.8376,1500.8376,1723.078,1473.078,1723.078,1473.078,86234.84,136490.83,41723.01,139045.56,127605.93,136490.83,7311.9595,97322.56,50255.984,8884.898
C3,408405954,250.0,2233.41,1983.4099,3158.1792,2908.1792,3158.1792,2908.1792,191017.2,343181.2,57331.258,223367.14,324904.9,343181.2,7468.2563,166035.89,152163.98,18276.281
C11,707954076,250.0,1762.6642,1512.6642,1703.903,1453.903,1703.903,1453.903,138816.22,156948.14,136782.06,163871.56,155125.66,156948.16,6865.8896,27089.5,18131.922,1822.5
C3,698709310,250.0,3101.045,2851.045,2599.9233,2349.9233,2599.9233,2349.9233,166995.28,259290.52,57030.46,319681.9,238444.48,259290.53,7894.0205,262651.44,92295.234,20846.047
C7,286052801,250.0,2678.0198,2428.0198,2496.275,2246.275,2496.275,2246.275,263663.38,300566.38,262283.94,327517.3,297219.7,300566.38,8217.576,65233.39,36903.016,3346.6875
C6,-190541709,250.0,1597.2064,1347.2064,1552.353,1302.353,1552.353,1302.353,107568.1,138281.19,98588.48,142874.44,135475.31,138281.19,9778.968,44285.96,30713.086,2805.875
C14,-763205672,250.0,1602.9797,1352.9797,1526.5306,1276.5306,1526.5306,1276.5306,109045.55,122287.09,106455.22,129762.42,120828.21,122287.1,7652.45,23307.203,13241.547,1458.8828
C2,-1512022076,250.0,736.7941,486.79413,784.0664,534.0664,784.0664,534.0664,48623.12,49729.445,43951.54,45838.54,49556.203,49729.445,8629.338,1887.0039,1106.3281,173.24219
C8,-2041392862,250.0,4237.405,3987.4048,4240.0815,3990.0815,4240.0815,3990.0815,308205.16,650703.06,202470.36,650188.5,634934.06,650703.06,7576.619,447718.12,342497.9,15769.0
C4,-1124915830,250.0,3905.1677,3655.1677,3910.4668,3660.4668,3910.4668,3660.4668,308154.9,484424.44,130513.12,483648.44,452111.9,484424.47,7028.3477,353135.3,176269.53,32312.562
C13,174823762,250.0,1362.1716,1112.1716,1540.4866,1290.4866,1540.4866,1290.4866,124455.76,136534.45,103293.23,116649.484,135655.84,136534.45,7661.54,13356.258,12078.695,878.6094
C3,-1668190253,250.0,3351.9087,3101.9087,3475.0505,3225.0505,3475.0505,3225.0505,257206.4,378234.6,112483.09,363388.12,359420.78,378234.6,9642.923,250905.02,121028.17,18813.781
C9,1799436767,250.0,2455.2866,2205.2866,2628.6216,2378.6216,2628.6216,2378.6216,231741.42,282960.53,196993.0,259862.0,280415.06,282960.53,8537.491,62869.0,51219.094,2545.4688
C2,-1555590367,250.0,2349.7808,2099.7808,2571.2676,2321.2676,2571.2676,2321.2676,181991.12,262157.78,90771.6,233468.52,251578.95,262157.78,7976.1445,142696.92,80166.66,10578.828
C6,650433521,250.0,1764.109,1514.109,1762.467,1512.467,1762.467,1512.467,130921.34,156498.27,120158.58,156648.8,154603.14,156498.28,8255.978,36490.21,25576.914,1895.1406
C5,-648533003,250.0,2330.7153,2080.7153,2652.0525,2402.0525,2652.0525,2402.0525,158176.23,285115.0,84790.805,247092.47,275232.34,285115.0,7818.0435,162301.66,126938.78,9882.656
C9,412928697,250.0,5251.9697,5001.9697,5386.19,5136.19,5386.19,5136.19,516010.56,808290.6,362587.34,785904.25,796369.2,808290.7,7354.0317,423316.88,292280.03,11921.5
C5,952822115,250.0,1969.1321,1719.1321,2716.7815,2466.7815,2716.7815,2466.7815,178724.56,289985.66,87524.99,197387.66,282995.0,289985.66,9018.643,109862.664,111261.08,6990.6562
