# ExperimentSet [id=testFive01, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=4, runNumber=50, targetComponent=C1]
ReqTime, quiescenceTime, vcFreenessTime, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
250.0,640.4322,721.83057,6997.8833,8034.253,6883.347,4465.145,2728.7197,2507.3794,2507.3794,2418.2021,1257.71
250.0,415.48108,441.61847,5898.339,7031.212,6515.176,5370.996,3533.145,3984.489,3984.4895,1144.1802,681.52905
250.0,627.12445,423.28638,4726.194,5612.8076,8524.102,5524.762,3072.5981,3599.38,3599.3796,2999.339,359.83203
250.0,545.3146,294.08865,2418.7373,2819.884,7012.44,4436.843,1946.916,2335.929,2335.929,2575.597,12.133789
250.0,461.15106,474.68445,5126.791,5898.8916,5784.878,4744.8906,2630.37,3285.7256,3285.7256,1039.9873,116.74512
250.0,536.3307,468.29242,5457.304,7097.501,8308.668,5518.537,3015.427,3141.4683,3141.4683,2790.1309,1514.1555
250.0,589.21906,279.18906,2516.6306,2610.3174,7168.7373,3793.1199,2154.6924,2259.8186,2259.8186,3375.6177,-11.439453
250.0,525.6501,310.4457,3549.282,3683.062,6249.973,4429.0312,2660.5571,2718.359,2718.359,1820.9419,75.97827
250.0,470.36972,339.11435,3817.7927,3863.2236,5748.666,4086.2397,2699.585,2604.7886,2604.7886,1662.4263,140.2273
250.0,538.9992,353.41702,4301.6694,4664.1626,7814.2363,4893.0625,3177.9502,2949.5266,2949.5269,2921.1743,590.91675
250.0,470.68622,418.32123,4829.3687,4991.196,5754.996,3937.615,2664.191,2511.3726,2511.3726,1817.3811,314.6455
250.0,534.0028,499.79993,6377.582,6308.6636,6826.5215,4438.1035,2598.2175,2566.6245,2566.6245,2388.418,-37.32544
250.0,584.8401,624.9502,5835.367,9409.018,8787.398,5559.3027,2465.3071,3040.2844,3040.2847,3228.0962,2998.6733
250.0,676.5528,296.7911,2416.0059,3033.345,9000.97,4203.7153,1984.7815,2386.6921,2386.6921,4797.254,215.42847
250.0,511.6369,477.20532,6586.134,7357.729,7867.9414,5935.47,3224.976,3844.3374,3844.3374,1932.4712,152.23389
250.0,498.98773,606.9249,7444.246,8120.4224,6506.2393,4652.059,2789.9016,2849.5986,2849.5986,1854.1802,616.479
250.0,645.8502,407.50275,3468.1895,4456.4883,9165.203,4505.2827,2050.8398,2111.7095,2111.7095,4659.9204,927.4292
250.0,572.7926,426.38055,4947.5366,6876.4946,8929.568,5509.3394,2470.9712,2921.79,2921.7898,3420.2288,1478.1392
250.0,400.72488,599.35034,6813.447,7953.634,4538.6,3635.91,2825.102,2762.662,2762.662,902.6902,1202.627
250.0,349.23688,404.805,3802.0474,3255.8125,2792.9019,2415.1868,2551.7412,2029.099,2029.099,377.7151,-23.592651
250.0,464.72327,525.14844,5820.99,7129.693,5878.752,4144.2856,2457.639,2637.5535,2637.5535,1734.4663,1128.7883
250.0,750.1378,474.44623,5895.6445,7356.7197,13108.667,6506.8955,3460.481,3335.776,3335.7761,6601.7715,1585.7803
250.0,463.63495,498.90527,6823.8506,6106.174,5483.1504,3922.3757,2716.3577,2333.5903,2333.5903,1560.7747,-334.90967
250.0,421.50012,332.08487,3660.3289,3259.085,4173.38,3437.0747,2630.3904,2453.5747,2453.5747,736.3052,-224.42822
250.0,504.59973,518.04944,5208.6377,6301.2686,6049.2334,3479.6099,2872.2847,2107.0725,2107.0725,2569.6235,1857.8433
250.0,522.352,355.26135,3655.3096,5357.2563,7465.2803,5870.634,2387.6453,3265.7622,3265.7625,1594.6467,823.82983
250.0,433.8805,300.1177,3041.656,3608.859,5728.503,4054.7375,2538.6287,2971.6614,2971.6614,1673.7654,134.17017
250.0,626.30756,339.8979,2418.768,3871.335,8253.711,5124.303,1661.8508,2644.1692,2644.1692,3129.408,470.24854
250.0,614.19684,350.83875,3673.5186,3579.8066,8284.174,4337.576,2490.1558,2030.554,2030.5537,3946.5977,365.8899
250.0,692.1644,480.9646,5109.602,5099.8784,8028.347,4613.146,2511.286,2387.4155,2387.4155,3415.2012,114.14673
250.0,511.16998,250.0,2094.1912,2689.9934,6680.0166,4809.8257,2094.1912,2689.9934,2689.9932,1870.1907,0.0
250.0,573.12396,400.35992,4318.9453,5427.739,7564.9785,5370.4624,2060.6938,2230.651,2230.6506,2194.5159,938.8364
250.0,518.5846,327.82495,2558.6802,3560.374,6537.9907,3594.421,1933.7983,2232.684,2232.684,2943.5698,702.8081
250.0,796.8862,381.6313,2449.5864,3621.899,11422.47,3797.8083,1469.8909,1684.4152,1684.4152,7624.6616,957.7882
250.0,578.05597,377.83548,5178.9473,5940.2837,10699.043,5646.9863,3072.566,3231.8584,3231.8584,5052.0566,602.04395
250.0,531.62317,397.10535,4106.5605,4836.074,7042.95,4417.2314,2515.8936,2719.1692,2719.1692,2625.719,526.23804
250.0,555.13367,368.42255,4788.232,5265.3555,7766.037,5502.7427,3073.0203,3321.7915,3321.7915,2263.2944,228.3523
250.0,500.59018,327.71832,2942.22,3787.2266,6725.248,4282.0796,2274.2478,2439.2598,2439.2598,2443.1685,679.9946
250.0,405.26227,397.12665,3525.3286,3790.0085,3882.3726,3079.25,1871.7394,1971.2295,1971.2295,803.12256,165.18982
250.0,662.40063,314.41016,3265.1582,3643.5156,8869.102,5036.2764,2418.109,2613.4417,2613.4417,3832.8254,183.02466
250.0,664.8218,339.41595,4637.2324,5937.1934,11827.177,7302.187,2916.1646,4036.0073,4036.0073,4524.9897,180.11816
250.0,518.0365,439.96872,5528.9175,5635.9365,7034.172,4244.4546,2914.5962,2437.5215,2437.5215,2789.7173,584.09375
250.0,506.75223,356.26846,3698.1829,4368.6406,7091.7197,4763.868,1954.9569,2104.9548,2104.9546,2327.851,520.45984
250.0,574.9793,512.69165,6794.1235,8759.813,9548.258,6263.8975,3305.461,3860.4863,3860.4863,3284.3604,1410.6646
250.0,592.1809,397.521,4183.3223,5356.9385,8818.229,5316.981,2513.6987,2768.8416,2768.8416,3501.2473,918.4734
250.0,567.0866,313.35968,2774.2112,3252.9272,8108.047,4390.1753,2276.282,2392.9563,2392.9563,3717.8718,362.04175
250.0,617.46216,587.48016,6679.81,9569.167,9980.374,5518.4165,2907.3997,3558.6602,3558.6602,4461.9575,2238.0964
250.0,541.98694,397.0792,4047.4878,4263.678,5914.3813,3878.1177,2301.2292,2136.186,2136.186,2036.2637,381.23364
250.0,457.9922,365.60712,3940.4927,4438.962,5968.9004,4224.1826,2387.5664,2466.3745,2466.3745,1744.7178,419.66113
250.0,614.2504,401.05957,4756.527,5392.858,8879.963,5711.356,3016.7065,2724.3564,2724.3564,3168.607,928.68115
