# ExperimentSet [id=resultsExperiments/timelinessDisruption/V16E2D25.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=25.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C3,1774763047,250.0,973.0475,723.0475,854.545,604.545,70840.06,75313.95,89745.445,78102.484,9932.586,9932.587,9932.587,11642.961,4473.8906
C12,-506496402,250.0,3660.5698,3410.5698,3380.3354,3130.3354,434246.56,583324.4,640875.25,391626.7,11356.306,11356.307,11356.306,249248.56,149077.81
C8,-41169962,250.0,1096.6765,846.6765,944.241,694.241,68753.13,77285.06,92876.0,78122.1,10571.095,10571.095,10571.095,14753.898,8531.93
C7,2018695370,250.0,1181.8428,931.8428,1172.619,922.619,87392.77,105669.39,106563.58,79606.11,10092.358,10092.359,10092.357,26957.469,18276.617
C7,1083428877,250.0,1940.2902,1690.2902,1749.9825,1499.9825,129900.16,152058.06,172931.8,133323.31,10439.507,10439.506,10439.507,39608.492,22157.914
C2,298499967,250.0,1674.3495,1424.3495,1730.4116,1480.4116,109519.94,188285.67,180582.12,50318.723,9930.831,9930.833,9930.831,130263.41,78765.734
C3,-1264165101,250.0,3026.25,2776.25,3212.0784,2962.0784,164132.05,430687.88,402018.1,61336.85,10414.644,10414.643,10414.643,340681.22,266555.8
C2,1316144193,250.0,1392.45,1142.45,418.5925,168.5925,26062.766,26100.406,159983.1,148338.47,11275.491,11275.492,11275.492,11644.625,37.63965
C1,315415608,250.0,1214.9237,964.9237,1344.5968,1094.5968,66641.91,123327.33,108644.43,35479.504,10843.309,10843.309,10843.309,73164.93,56685.418
C10,-187855682,250.0,918.6359,668.6359,869.7651,619.7651,59954.08,65513.336,70299.305,63023.55,9147.701,9147.701,9147.701,7275.75,5559.258
C4,-1992587721,250.0,2440.1978,2190.1978,2465.586,2215.586,164910.5,271528.16,268594.2,64233.082,11585.419,11585.42,11585.42,204361.1,106617.66
C10,675187325,250.0,1749.0085,1499.0085,1418.4551,1168.4551,125978.0,144789.03,188193.25,151970.2,11245.865,11245.865,11245.865,36223.047,18811.04
C4,1761766398,250.0,2214.5886,1964.5886,1964.5563,1714.5563,158203.75,195455.6,225244.5,134753.56,10717.501,10717.501,10717.501,90490.94,37251.844
C13,630898849,250.0,1115.0516,865.05164,1052.8472,802.84717,81476.74,90999.58,98019.8,84786.42,9698.926,9698.925,9698.926,13233.375,9522.844
C9,-2048043543,250.0,1032.4526,782.45264,1081.365,831.365,91101.02,98703.14,94044.73,86577.2,12351.592,12351.591,12351.592,7467.5234,7602.117
C5,1380944539,250.0,1178.379,928.379,1136.0251,886.02515,76896.96,96249.83,100280.79,73491.4,11743.799,11743.8,11743.8,26789.395,19352.867
C1,-443350544,250.0,2552.5825,2302.5825,2235.4958,1985.4958,273401.53,302753.78,356815.06,257422.16,9343.294,9343.295,9343.294,99392.92,29352.25
C9,66651665,250.0,1317.2004,1067.2004,992.1519,742.1519,82909.97,88182.95,130875.51,114999.055,8851.428,8851.428,8851.428,15876.453,5272.9844
C10,-1385530526,250.0,2432.4834,2182.4834,2427.2354,2177.2354,243495.28,293663.5,294352.97,234039.98,10550.584,10550.584,10550.584,60312.97,50168.203
C3,-1040023681,250.0,1738.0198,1488.0198,1880.8275,1630.8275,147374.8,194533.81,175784.39,85085.37,10202.739,10202.739,10202.739,90699.03,47159.016
C7,1909811994,250.0,909.2611,659.2611,903.4365,653.4365,72433.266,78043.69,78840.97,71394.63,9428.734,9428.734,9428.734,7446.336,5610.422
C1,-463642527,250.0,4792.055,4542.055,4983.6567,4733.6567,290307.4,643100.44,617997.4,152333.89,10660.114,10660.115,10660.114,465663.47,352793.03
C3,481889107,250.0,1903.0471,1653.0471,1959.8507,1709.8507,122302.95,203089.92,196198.48,41763.2,10405.032,10405.032,10405.032,154435.28,80786.97
C1,1466068709,250.0,1698.31,1448.31,1885.246,1635.246,108305.08,175231.31,154290.33,53712.535,10258.574,10258.574,10258.574,100577.79,66926.234
C1,542933640,250.0,1197.5242,947.5242,1164.1238,914.1238,102026.77,115326.195,118929.22,94177.99,11942.598,11942.599,11942.6,24751.227,13299.422
C2,-31587717,250.0,1539.5507,1289.5507,1700.1383,1450.1383,93484.31,154545.03,138475.61,44998.332,10323.496,10323.496,10323.496,93477.27,61060.72
C3,-1608197371,250.0,2620.214,2370.214,909.49445,659.49445,68045.125,76025.22,323949.03,206812.98,10324.479,10324.477,10324.477,117136.06,7980.0938
C2,-806685258,250.0,4647.8022,4397.8022,5132.298,4882.298,383442.72,979946.06,864696.9,104773.39,8559.355,8559.356,8559.355,759923.5,596503.3
C1,1337272588,250.0,4638.647,4388.647,4560.9,4310.9,370121.16,839791.06,855918.94,100277.23,10939.177,10939.177,10939.177,755641.7,469669.9
C3,1134486876,250.0,1364.4249,1114.4249,1374.124,1124.124,67201.19,106582.39,105757.06,34876.016,8434.729,8434.729,8434.729,70881.05,39381.203
C3,408405954,250.0,1481.7506,1231.7506,1687.661,1437.661,101911.22,166505.08,143731.95,40648.473,9483.68,9483.68,9483.68,103083.484,64593.867
C11,707954076,250.0,1172.6694,922.66943,1119.0911,869.09106,91507.94,102939.445,109389.75,90396.32,9826.723,9826.724,9826.724,18993.43,11431.5
C3,698709310,250.0,2681.4866,2431.4866,2584.7998,2334.7998,164334.42,275923.62,288193.44,53891.99,9752.227,9752.227,9752.227,234301.45,111589.22
C7,286052801,250.0,1622.5519,1372.5519,1725.5226,1475.5226,189794.75,217423.02,202211.83,161518.97,9730.079,9730.079,9730.078,40692.86,27628.266
C6,-190541709,250.0,1050.0583,800.05835,952.4882,702.4882,64714.273,79164.49,88475.69,63398.61,11940.426,11940.426,11940.424,25077.078,14450.215
C14,-763205672,250.0,1263.6365,1013.6365,1259.4922,1009.4922,92941.65,106392.11,106845.82,87941.14,9933.359,9933.361,9933.361,18904.68,13450.461
C2,-1512022076,250.0,518.9605,268.9605,545.2623,295.26233,36821.2,37456.35,35098.965,34374.84,12792.633,12792.633,12792.633,724.125,635.15234
C8,-2041392862,250.0,2935.9146,2685.9146,2873.7634,2623.7634,214383.86,450639.22,462989.0,150335.47,8866.346,8866.347,8866.346,312653.53,236255.36
C4,-1124915830,250.0,1944.2188,1694.2188,2073.0142,1823.0142,164724.66,245065.31,227305.83,73647.95,9452.357,9452.356,9452.356,153657.88,80340.66
C13,174823762,250.0,907.64404,657.64404,963.2428,713.2428,73226.01,79940.83,73919.77,66096.266,9689.122,9689.121,9689.121,7823.508,6714.8164
C3,-1668190253,250.0,3047.9119,2797.9119,2443.706,2193.706,188819.36,277199.7,354799.8,111462.88,13022.817,13022.818,13022.818,243336.94,88380.33
C9,1799436767,250.0,1924.7178,1674.7178,1998.7217,1748.7217,167168.83,212991.73,202893.77,144359.88,10446.714,10446.714,10446.714,58533.89,45822.906
C2,-1555590367,250.0,1654.6012,1404.6012,1554.2472,1304.2472,113871.766,156680.55,169453.81,68563.35,10661.46,10661.461,10661.46,100890.45,42808.79
C6,650433521,250.0,1402.4069,1152.4069,1488.247,1238.247,115994.59,137905.2,128539.555,100937.46,10258.266,10258.267,10258.266,27602.094,21910.61
C5,-648533003,250.0,1804.4398,1554.4398,1729.78,1479.78,105911.4,179299.8,188940.25,71956.62,9952.458,9952.458,9952.458,116983.64,73388.41
