# ExperimentSet [id=resultsExperiments/timelinessDisruption/scale4TargetC4, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=4, runNumber=50, targetComponent=C4]
Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
1774763047,250.0,399.9999,149.99991,399.9999,149.99991,4637.5938,4694.66,4694.66,4637.5933,2602.754,2602.754,2602.7537,57.06665,57.066406
-506496402,250.0,547.90625,297.90625,547.90625,297.90625,7009.467,7701.829,7701.829,7009.4673,3804.8242,3804.824,3804.824,692.3618,692.36255
-41169962,250.0,395.94666,145.94666,395.94666,145.94666,5022.9956,5270.002,5270.0024,5022.996,3343.816,3343.816,3343.8157,247.0061,247.00635
2018695370,250.0,632.1114,382.1114,632.1114,382.1114,5547.527,7380.2095,7380.21,5547.527,2149.1987,2149.1987,2149.1987,1832.6831,1832.6826
1083428877,250.0,366.81128,116.81128,366.81128,116.81128,4180.37,4263.3115,4263.3115,4180.37,3075.4226,3075.4229,3075.4229,82.94141,82.94116
298499967,250.0,330.76694,80.76694,330.76694,80.76694,4930.5977,4983.413,4983.4126,4930.5977,3554.2388,3554.2388,3554.2388,52.81494,52.81543
-1264165101,250.0,409.07693,159.07693,409.07693,159.07693,4026.6694,4285.053,4285.053,4026.6692,2297.673,2297.673,2297.673,258.38403,258.3838
1316144193,250.0,680.4373,430.43732,680.4373,430.43732,6299.541,9892.324,9892.324,6299.541,2204.6763,2204.6765,2204.6765,3592.783,3592.7827
315415608,250.0,372.3996,122.3996,372.3996,122.3996,4913.8267,4976.42,4976.42,4913.8267,3215.3916,3215.3916,3215.3914,62.593018,62.59326
-187855682,250.0,293.55054,43.550537,293.55054,43.550537,3123.5308,3184.6982,3184.6982,3123.5308,2766.7927,2766.7927,2766.7927,61.16748,61.16748
-1992587721,250.0,445.24713,195.24713,445.24713,195.24713,4965.4263,5383.4478,5383.4478,4965.4263,2511.3728,2511.3728,2511.3726,418.02124,418.02148
675187325,250.0,337.43567,87.43567,337.43567,87.43567,3396.83,3551.079,3551.0786,3396.8296,2294.4954,2294.4956,2294.4956,154.24902,154.24878
1761766398,250.0,593.1916,343.1916,593.1916,343.1916,7280.711,8914.708,8914.707,7280.711,3040.2847,3040.2844,3040.2847,1633.9966,1633.9976
630898849,250.0,436.4388,186.43881,436.4388,186.43881,4260.216,5008.807,5008.8066,4260.216,2317.0554,2317.0554,2317.0557,748.59106,748.5913
