# ExperimentSet [id=resultsExperiments/timelinessDisruption/V16E2D100.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=100.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C3,1774763047,250.0,2769.0725,2519.0725,2805.1853,2555.1853,235772.52,259671.06,255500.34,207712.36,6220.631,6220.631,6220.631,47787.984,23898.547
C12,-506496402,250.0,7076.6475,6826.6475,6034.3066,5784.3066,722696.5,963602.4,1167643.9,724690.1,6034.346,6034.346,6034.346,442953.75,240905.88
C8,-41169962,250.0,4911.8105,4661.8105,3748.6938,3498.6938,313064.4,379874.2,516800.88,385483.3,6407.5713,6407.5713,6407.5713,131317.56,66809.78
C7,2018695370,250.0,2861.2207,2611.2207,3206.5967,2956.5967,225299.12,289166.34,251137.16,173002.81,6149.6855,6149.685,6149.6855,78134.34,63867.22
C7,1083428877,250.0,5337.652,5087.652,5657.604,5407.604,397979.25,488064.62,458889.75,338414.0,6130.844,6130.844,6130.844,120475.75,90085.375
C2,298499967,250.0,4840.392,4590.392,4925.6523,4675.6523,298213.94,543037.25,531714.9,103581.695,5804.3115,5804.3115,5804.3115,428133.2,244823.31
C3,-1264165101,250.0,7246.1816,6996.1816,9537.198,9287.198,448929.72,1285754.8,943438.9,95774.445,5584.9688,5584.969,5584.969,847664.4,836825.0
C2,1316144193,250.0,3587.9292,3337.9292,911.51086,661.51086,54702.86,56011.008,449125.28,411953.2,6496.179,6496.179,6496.1797,37172.094,1308.1484
C1,315415608,250.0,2732.5647,2482.5647,3261.365,3011.365,152879.61,308068.44,250369.62,55511.324,6467.887,6467.887,6467.887,194858.3,155188.84
C10,-187855682,250.0,2461.1685,2211.1685,2693.9644,2443.9644,202430.44,224972.03,200983.38,174101.56,6062.088,6062.088,6062.088,26881.812,22541.594
C4,-1992587721,250.0,5218.3037,4968.3037,5394.6973,5144.6973,336861.7,570663.8,549127.94,111486.63,6727.7686,6727.7686,6727.7686,437641.3,233802.16
C10,675187325,250.0,4338.9556,4088.9556,4702.273,4452.273,400565.88,489216.56,443462.4,342737.97,6518.454,6518.454,6518.454,100724.44,88650.69
C4,1761766398,250.0,3313.349,3063.349,2384.3528,2134.3528,167058.23,196577.9,302016.56,183345.56,6230.8076,6230.8076,6230.808,118671.0,29519.672
C13,630898849,250.0,5590.412,5340.412,5974.2593,5724.2593,515242.06,612647.2,568864.5,460731.84,5427.6284,5427.6284,5427.6284,108132.66,97405.125
C9,-2048043543,250.0,2439.448,2189.448,2639.821,2389.821,217504.88,238729.83,219013.12,193724.05,7177.788,7177.7876,7177.7876,25289.078,21224.953
C5,1380944539,250.0,3114.0242,2864.0242,2299.6682,2049.6682,146502.36,180019.88,265656.94,183902.81,6621.1772,6621.177,6621.1763,81754.125,33517.516
C1,-443350544,250.0,8992.475,8742.475,8420.968,8170.968,1153815.6,1324496.5,1429959.4,990861.8,5275.8,5275.8,5275.8003,439097.62,170680.88
C9,66651665,250.0,4734.0435,4484.0435,2440.0366,2190.0366,210690.36,229128.5,554551.9,475408.03,5981.2974,5981.2974,5981.298,79143.84,18438.14
C10,-1385530526,250.0,6960.023,6710.023,6957.995,6707.995,668981.9,848616.56,848911.2,626256.1,6721.114,6721.114,6721.114,222655.06,179634.69
C3,-1040023681,250.0,6842.485,6592.485,7009.2417,6759.2417,559406.4,753240.56,732702.9,297492.1,5479.418,5479.4175,5479.4175,435210.75,193834.19
C7,1909811994,250.0,2577.1938,2327.1938,2674.8657,2424.8657,205065.75,229042.64,218233.36,187946.34,6115.786,6115.786,6115.7866,30287.016,23976.89
C1,-463642527,250.0,10458.343,10208.343,11008.938,10758.938,665492.75,1424147.1,1344209.8,303755.94,5771.2524,5771.2524,5771.2524,1040453.8,758654.4
C3,481889107,250.0,3623.2178,3373.2178,4844.569,4594.569,285334.75,500788.88,358442.25,67974.54,6661.0005,6661.0005,6661.001,290467.72,215454.12
C1,1466068709,250.0,3341.6848,3091.6848,4029.2788,3779.2788,230111.33,363912.2,297466.6,87221.1,5894.749,5894.7495,5894.749,210245.5,133800.86
C1,542933640,250.0,2912.0952,2662.0952,3083.3828,2833.3828,251194.12,294983.06,275433.62,203032.84,6183.162,6183.1626,6183.1626,72400.78,43788.938
C2,-31587717,250.0,6208.421,5958.421,6615.2236,6365.2236,331929.06,631599.2,591067.56,108000.03,6111.5947,6111.595,6111.595,483067.5,299670.1
C3,-1608197371,250.0,6185.307,5935.307,6682.901,6432.901,711738.9,852816.0,782570.56,475731.66,6043.5933,6043.5938,6043.5938,306838.94,141077.06
C2,-806685258,250.0,12693.667,12443.667,15756.115,15506.115,1195443.2,3148820.5,2479031.0,237060.17,5077.5596,5077.5596,5077.5596,2241971.0,1953377.2
C1,1337272588,250.0,13211.47,12961.47,13287.754,13037.754,1062107.4,2488867.5,2471778.5,176134.28,6394.502,6394.5024,6394.5024,2295644.2,1426760.1
C3,1134486876,250.0,2768.2666,2518.2666,2983.6501,2733.6501,146790.44,238444.52,217693.58,60307.89,5807.35,5807.35,5807.35,157385.69,91654.08
C3,408405954,250.0,3381.493,3131.493,3798.0344,3548.0344,221065.83,367632.72,316144.78,72402.48,5598.031,5598.031,5598.031,243742.31,146566.89
C11,707954076,250.0,3922.0676,3672.0676,4183.317,3933.317,388158.7,452694.8,418736.16,325846.7,6135.553,6135.5527,6135.553,92889.47,64536.125
C3,698709310,250.0,6477.172,6227.172,6393.8545,6143.8545,414945.8,698387.8,708276.0,93049.625,6590.33,6590.3296,6590.3306,615226.4,283442.03
C7,286052801,250.0,3931.541,3681.541,3595.8848,3345.8848,359257.38,414384.3,464740.06,364844.28,5875.1,5875.0996,5875.1,99895.78,55126.938
C6,-190541709,250.0,2827.0022,2577.0022,2938.7974,2688.7974,179161.05,246852.6,236928.52,147978.86,7448.6567,7448.6562,7448.6567,88949.66,67691.55
C14,-763205672,250.0,2851.584,2601.584,3232.947,2982.947,258081.14,302866.4,256665.36,204635.95,5885.7896,5885.79,5885.79,52029.406,44785.28
C2,-1512022076,250.0,1210.3164,960.3164,1455.2562,1205.2562,100365.836,105660.836,80787.69,74312.29,6878.947,6878.9463,6878.9473,6475.3984,5295.0
C8,-2041392862,250.0,6818.1973,6568.1973,7388.691,7138.691,515191.38,1142242.6,1036009.94,297663.97,5141.354,5141.354,5141.354,738345.94,627051.25
C4,-1124915830,250.0,8071.618,7821.618,8440.513,8190.5127,690618.94,1150566.4,1096239.9,226612.48,5499.3496,5499.3496,5499.3496,869627.4,459947.44
C13,174823762,250.0,2418.1953,2168.1953,2432.6326,2182.6326,202805.78,218414.17,216698.38,194828.0,6176.432,6176.432,6176.4326,21870.375,15608.391
C3,-1668190253,250.0,7696.9883,7446.9883,8159.5195,7909.5195,589090.94,926325.25,869072.2,224957.06,6507.6147,6507.6143,6507.6147,644115.1,337234.3
C9,1799436767,250.0,3148.0725,2898.0725,2870.4624,2620.4624,222661.28,267788.34,303451.34,224189.4,5986.5674,5986.5674,5986.5674,79261.94,45127.062
C2,-1555590367,250.0,3949.0552,3699.0552,3647.771,3397.771,245423.84,354403.6,391329.38,132856.8,6194.8945,6194.8945,6194.8955,258472.56,108979.734
C6,650433521,250.0,2913.2842,2663.2842,2727.3853,2477.3853,199501.06,239266.11,259274.25,196861.12,6254.31,6254.31,6254.31,62413.125,39765.047
C5,-648533003,250.0,3978.7778,3728.7778,4300.045,4050.045,244076.16,453813.1,414569.75,126317.375,5275.487,5275.487,5275.487,288252.38,209736.92
C9,412928697,250.0,7236.916,6986.916,5340.434,5090.434,513947.7,758131.2,1076386.9,498537.1,5428.6626,5428.6626,5428.6626,577849.8,244183.47
C5,952822115,250.0,4185.498,3935.498,4264.0596,4014.0596,275379.0,443431.62,434120.03,169503.19,6241.995,6241.995,6241.995,264616.84,168052.62
C2,-1720755923,250.0,6466.1235,6216.1235,7456.5073,7206.5073,529503.4,998552.4,846525.7,144501.28,6459.5854,6459.5854,6459.5854,702024.44,469049.03
C8,713249548,250.0,3490.5215,3240.5215,3632.3408,3382.3408,256327.52,306982.06,294054.44,221106.62,6060.568,6060.568,6060.568,72947.81,50654.547
C8,826247555,250.0,6247.2363,5997.2363,6536.632,6286.632,631812.8,785802.5,744838.9,546927.1,5921.666,5921.666,5921.666,197911.75,153989.69
C2,785368874,250.0,10187.739,9937.739,3307.3867,3057.3867,342210.88,387082.34,1670882.8,1029303.94,6080.548,6080.548,6080.548,641578.9,44871.47
C3,1006981601,250.0,3400.9587,3150.9587,1187.4656,937.4656,75677.19,79058.6,399392.16,361760.06,5419.9307,5419.9316,5419.9316,37632.094,3381.414
C1,114827670,250.0,4462.321,4212.321,2439.6357,2189.6357,169339.83,207097.39,425614.94,247654.2,7337.941,7337.9404,7337.9404,177960.73,37757.562
C7,316430616,250.0,6168.7417,5918.7417,5860.0913,5610.0913,568124.5,742105.5,790276.06,506591.66,6500.91,6500.91,6500.91,283684.38,173981.0
C8,-406689046,250.0,6234.021,5984.021,6267.015,6017.015,442207.25,740819.5,736574.3,291266.66,6300.49,6300.49,6300.49,445307.66,298612.25
C9,-9578651,250.0,4238.5786,3988.5786,1978.3142,1728.3142,158883.83,171566.5,497999.62,425546.4,6388.095,6388.0947,6388.095,72453.22,12682.672
C2,103950130,250.0,5394.1533,5144.1533,5930.582,5680.582,443222.47,737165.06,656309.75,170989.34,5573.8257,5573.8257,5573.825,485320.44,293942.6
C2,428964495,250.0,1257.4412,1007.44116,1170.177,920.177,75899.34,78520.734,86573.16,81105.63,7118.201,7118.2017,7118.2017,5467.5234,2621.3906
C7,277769676,250.0,2125.621,1875.6211,2172.6606,1922.6606,151375.25,175692.33,170648.92,136823.23,6470.743,6470.743,6470.743,33825.68,24317.078
C7,1602222556,250.0,9553.036,9303.036,9984.704,9734.704,853885.8,1506398.4,1433851.1,317364.28,6309.808,6309.808,6309.808,1116486.9,652512.6
C14,1124888674,250.0,3969.302,3719.302,3998.2295,3748.2295,359571.56,424732.1,420897.22,336013.75,5492.3633,5492.3633,5492.363,84883.47,65160.53
C9,-612012627,250.0,4943.3813,4693.3813,5288.6436,5038.6436,414693.62,508187.6,471126.1,368838.28,6664.44,6664.44,6664.44,102287.81,93493.97
C8,1996655901,250.0,8367.34,8117.34,9003.231,8753.231,687280.3,1450304.8,1327930.0,307113.16,6897.175,6897.175,6897.175,1020816.9,763024.5
