# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D25.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=25.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1774763047,250.0,1056.1472,806.1472,949.7721,699.7721,949.7721,699.7721,73484.81,80471.94,77231.41,94243.195,78714.13,80471.94,9298.714,17011.79,6987.129,1757.8047
C12,-506496402,250.0,3660.5698,3410.5698,3380.3354,3130.3354,3380.3354,3130.3354,434246.62,583324.4,391626.66,640875.25,580268.75,583324.4,11356.306,249248.6,149077.75,3055.625
C8,-41169962,250.0,1096.6765,846.6765,944.241,694.241,944.241,694.241,68753.13,77285.06,78122.1,92876.0,76552.836,77285.06,10571.096,14753.898,8531.93,732.22656
C7,2018695370,250.0,1181.8428,931.8428,1172.619,922.619,1172.619,922.619,87392.77,105669.39,79606.12,106563.57,104118.914,105669.39,10092.359,26957.453,18276.617,1550.4766
C7,1083428877,250.0,1940.2902,1690.2902,1749.9825,1499.9825,1749.9825,1499.9825,129900.15,152058.06,133323.31,172931.78,150229.08,152058.1,10439.507,39608.477,22157.922,1829.0156
C2,298499967,250.0,1674.3495,1424.3495,1730.4116,1480.4116,1730.4116,1480.4116,109519.92,188285.69,50318.723,180582.14,177217.38,188285.67,9930.831,130263.42,78765.766,11068.297
C3,-1264165101,250.0,3026.25,2776.25,3212.0784,2962.0784,3212.0784,2962.0784,164132.03,430687.84,61336.85,402018.06,412724.22,430687.88,10414.644,340681.2,266555.8,17963.656
C2,1316144193,250.0,1392.45,1142.45,418.5925,168.5925,418.5925,168.5925,26062.766,26100.408,148338.47,159983.1,26068.545,26100.41,11275.491,11644.625,37.64258,31.86621
C1,315415608,250.0,1214.9237,964.9237,1344.5968,1094.5968,1344.5968,1094.5968,66641.91,123327.33,35479.504,108644.43,115739.93,123327.32,10843.309,73164.93,56685.418,7587.3906
C10,-187855682,250.0,918.6359,668.6359,869.7651,619.7651,869.7651,619.7651,59954.08,65513.332,63023.547,70299.3,65254.504,65513.332,9147.7,7275.754,5559.254,258.82812
C4,-1992587721,250.0,2440.1978,2190.1978,2465.586,2215.586,2465.586,2215.586,164910.5,271528.12,64233.082,268594.2,262380.12,271528.12,11585.42,204361.1,106617.625,9148.0
C10,675187325,250.0,1749.0085,1499.0085,1418.4551,1168.4551,1418.4551,1168.4551,125978.016,144789.05,151970.2,188193.25,143933.47,144789.05,11245.865,36223.047,18811.04,855.5781
C4,1761766398,250.0,2214.5886,1964.5886,1964.5563,1714.5563,1964.5563,1714.5563,158203.77,195455.61,134753.55,225244.52,192849.83,195455.6,10717.501,90490.97,37251.844,2605.7656
C13,630898849,250.0,1115.0516,865.05164,1052.8472,802.84717,1052.8472,802.84717,81476.74,90999.58,84786.41,98019.8,90169.25,90999.586,9698.926,13233.391,9522.836,830.3281
C9,-2048043543,250.0,1032.4526,782.45264,1081.365,831.365,1081.365,831.365,91101.02,98703.14,86577.2,94044.734,98489.4,98703.13,12351.592,7467.5312,7602.117,213.73438
C5,1380944539,250.0,1178.379,928.379,1136.0251,886.02515,1136.0251,886.02515,76896.96,96249.836,73491.4,100280.79,94877.21,96249.83,11743.8,26789.395,19352.879,1372.6172
C1,-443350544,250.0,2552.5825,2302.5825,2235.4958,1985.4958,2235.4958,1985.4958,273401.53,302753.78,257422.16,356815.03,297863.44,302753.78,9343.294,99392.89,29352.25,4890.3438
